1,,
Field, pH , 3.168856338181476 %
Field, DO , 27.69169674895375 %
Field, BOD5 , 64.91988612372442 %
Field, CODMn , 20.22726054879275 %
Field, TN , 16.446748287263617 %
Field, TP , 6.544450057012522 %
Field, TOC , 6.778949968650641 %
Field, DOC , 5.116999043992678 %
Field, TN, , 18.08137766791594 %
Field, NH3-N , 18.668047359352254 %
Field, NO3-N , 11.862287487775639 %
Field, DTP , 4.147817732934576 %
Field, PO4-P , 7.989486483216614 %
2,,
Field, pH , 3.0719314648876734 %
Field, DO , 23.701894514462808 %
Field, BOD5 , 54.38205577649038 %
Field, CODMn , 20.113175121098024 %
Field, TN , 18.671801656734797 %
Field, TP , 2.595034345266975 %
Field, TOC , 7.226259032658792 %
Field, DOC , 6.183330407166018 %
Field, TN, , 19.299474344614346 %
Field, NH3-N , 7.102367257393904 %
Field, NO3-N , 14.238198236952357 %
Field, DTP , 11.905657622259456 %
Field, PO4-P , 2.9967787505319787 %
3,,

Field, pH , 25.54737006728959 %
Field, DO , 48.44351155774911 %
Field, BOD5 , 55.34745642418135 %
Field, CODMn , 27.415199425811597 %
Field, TN , 14.639700450906842 %
Field, TP , 6.729749108084265 %
Field, TOC , 12.215502828096358 %
Field, DOC , 9.501430406833917 %
Field, TN, , 22.07310054353912 %
Field, NH3-N , 151.23274532496958 %
Field, NO3-N , 10.380411076347418 %
Field, DTP , 10.947800696147775 %
Field, PO4-P , 164.233788664593 %
4,,

Field, pH , 6.775747258696678 %
Field, DO , 71.51243763449581 %
Field, BOD5 , 57.15147858014925 %
Field, CODMn , 22.53099469375918 %
Field, TN , 17.780272185005707 %
Field, TP , 1.5452849137357 %
Field, TOC , 7.041302197680832 %
Field, DOC , 5.037582078039577 %
Field, TN, , 14.604348557895532 %
Field, NH3-N , 6.525345493001291 %
Field, NO3-N , 11.58716478155666 %
Field, DTP , 18.70465508893622 %
Field, PO4-P , 3.136090063530107 %
5,,

Field, pH , 3.2686301526425536 %
Field, DO , 33.53911778403803 %
Field, BOD5 , 54.5674684150484 %
Field, CODMn , 26.370867070655475 %
Field, TN , 15.457401159466093 %
Field, TP , 0.9693259264545723 %
Field, TOC , 9.347983416724162 %
Field, DOC , 18.384444491386976 %
Field, TN, , 14.726450153751482 %
Field, NH3-N , 26.754400596108155 %
Field, NO3-N , 12.394368387443429 %
Field, DTP , 2.6078668769464968 %
Field, PO4-P , 9.361011251081646 %
6,,

Field, pH , 3.5400090880688935 %
Field, DO , 36.28971222078786 %
Field, BOD5 , 56.383639964135575 %
Field, CODMn , 23.225766830730844 %
Field, TN , 15.152079669358189 %
Field, TP , 13.565647395587089 %
Field, TOC , 7.953946248540225 %
Field, DOC , 8.157309871811602 %
Field, TN, , 14.413028966450325 %
Field, NH3-N , 4.107455125652842 %
Field, NO3-N , 11.887647005860398 %
Field, DTP , 1.4567381633204415 %
Field, PO4-P , 6.0291281341042335 %
7,,

Field, pH , 3.5400090880688935 %
Field, DO , 36.28971222078786 %
Field, BOD5 , 56.383639964135575 %
Field, CODMn , 23.225766830730844 %
Field, TN , 15.152079669358189 %
Field, TP , 13.565647395587089 %
Field, TOC , 7.953946248540225 %
Field, DOC , 8.157309871811602 %
Field, TN, , 14.413028966450325 %
Field, NH3-N , 4.107455125652842 %
Field, NO3-N , 11.887647005860398 %
Field, DTP , 1.4567381633204415 %
Field, PO4-P , 6.0291281341042335 %
8,,
Field, pH , 4.05088605852826 %
Field, DO , 22.245067540418688 %
Field, BOD5 , 57.060922933115386 %
Field, CODMn , 25.898424340021034 %
Field, TN , 18.040922903400613 %
Field, TP , 3.0053283892000433 %
Field, TOC , 13.4176223540701 %
Field, DOC , 11.13951344773716 %
Field, TN, , 18.289708686498415 %
Field, NH3-N , 44.89388136078999 %
Field, NO3-N , 21.10278882139743 %
Field, DTP , 118.69137621230055 %
Field, PO4-P , 36.20138099708746 %
9,,
Field, pH , 3.35260283090672 %
Field, DO , 20.337238487918174 %
Field, BOD5 , 55.74899983865382 %
Field, CODMn , 20.24100645203046 %
Field, TN , 18.917586625238524 %
Field, TP , 1.0397356342437751 %
Field, TOC , 7.971208153477075 %
Field, DOC , 7.497070571198225 %
Field, TN, , 21.131643246262442 %
Field, NH3-N , 11.49504638637857 %
Field, NO3-N , 15.386272836952697 %
Field, DTP , 1.2173500572940517 %
Field, PO4-P , 6.053669666207585 %
